2019/3/19	26.5	27.25	26.25	26.79	1.29%	-0.12%	-0.46%	10,673,000	286,273,000	54%	26.82	2.40%	26.35	1.22%	26.91	-1.31%	26.91	0.44%	0.73%
2019/3/18	26.02	26.49	25.72	26.45	1.93%	0.98%	-1.29%	9,014,000	236,110,000	42%	26.19	0.98%	26.03	-3.75%	27.26	-0.15%	26.8	0.37%	0.80%
2019/3/15	25.92	26.15	25.68	25.95	0.89%	0.04%	-2.80%	8,780,800	227,770,000	39%	25.94	-0.22%	27.05	-1.83%	27.3	-0.02%	26.7	0.21%	0.83%
2019/3/14	26.59	26.86	25.48	25.72	-4.39%	-1.06%	-3.45%	15,776,300	410,124,000	70%	26	-7.11%	27.55	-0.61%	27.31	0.04%	26.64	0.11%	0.84%
2019/3/13	28.33	29.19	26.48	26.9	-5.81%	-3.88%	1.09%	28,005,500	783,784,000	137%	27.99	0.09%	27.72	1.43%	27.3	1.41%	26.61	1.16%	0.88%
2019/3/12	27.18	29.65	26.88	28.56	5.19%	2.13%	8.57%	30,068,500	840,793,000	152%	27.96	3.61%	27.33	2.18%	26.92	1.87%	26.31	1.46%	0.87%
2019/3/11	26.65	27.49	26.34	27.15	3.39%	0.60%	4.72%	19,916,700	537,515,000	102%	26.99	0.27%	26.75	1.10%	26.42	1.03%	25.93	0.80%	0.80%
2019/3/8	25.63	27.91	25.38	26.26	-0.30%	-2.44%	2.10%	29,544,600	795,210,000	145%	26.92	2.34%	26.46	1.61%	26.16	1.47%	25.72	1.19%	0.86%
2019/3/7	26.03	26.67	25.76	26.34	1.19%	0.15%	3.62%	21,966,400	577,724,000	113%	26.3	1.35%	26.04	1.12%	25.78	0.87%	25.42	0.87%	0.81%
2019/3/6	26.55	26.55	25.68	26.03	-1.03%	0.30%	3.29%	19,900,600	516,432,000	100%	25.95	0.31%	25.75	0.99%	25.56	0.35%	25.2	0.72%	0.85%
2019/3/5	25.38	26.57	25.26	26.3	4.08%	1.66%	5.11%	24,591,500	636,215,000	120%	25.87	1.97%	25.5	1.33%	25.47	0.81%	25.02	1.09%	0.98%
2019/3/4	25.05	25.78	25.05	25.27	1.53%	-0.40%	2.09%	18,711,500	474,752,000	86%	25.37	2.18%	25.16	-0.49%	25.26	0.19%	24.75	0.64%	1.33%
2019/3/1	25.03	25.25	24.6	24.89	-0.52%	0.24%	1.20%	10,286,000	255,407,000	48%	24.83	-1.14%	25.29	-0.07%	25.21	0.48%	24.59	0.37%	1.36%
2019/2/28	25.22	25.59	24.88	25.02	-0.64%	-0.39%	2.11%	10,786,300	270,920,000	52%	25.12	-1.72%	25.3	0.10%	25.09	0.57%	24.5	0.47%	1.37%
2019/2/27	24.78	26.16	24.75	25.18	1.00%	-1.47%	3.24%	24,171,000	617,711,000	123%	25.56	1.72%	25.28	1.40%	24.95	1.02%	24.39	1.09%	1.36%
2019/2/26	25.4	25.5	24.85	24.93	-2.69%	-0.77%	3.33%	22,666,200	569,465,000	124%	25.12	-0.18%	24.93	0.95%	24.7	1.12%	24.13	0.82%	1.33%
2019/2/25	24.64	25.85	24.44	25.62	4.83%	1.79%	7.06%	29,880,700	752,062,000	183%	25.17	3.81%	24.69	1.37%	24.43	1.48%	23.93	1.35%	1.24%
2019/2/22	24.15	24.6	23.76	24.44	1.54%	0.80%	3.51%	17,089,600	414,348,000	121%	24.25	-0.79%	24.36	0.63%	24.07	0.64%	23.61	0.64%	1.07%
2019/2/21	24.14	25.08	24	24.07	-1.92%	-1.51%	2.60%	25,435,400	621,608,000	202%	24.44	0.33%	24.21	1.31%	23.92	1.29%	23.46	1.31%	0.97%
2019/2/20	24.71	24.71	23.97	24.54	-1.52%	0.74%	5.97%	27,482,900	669,453,000	266%	24.36	1.81%	23.9	2.04%	23.61	2.28%	23.16	2.05%	0.80%
2019/2/19	22.63	24.92	22.43	24.92	10.02%	4.16%	9.82%	35,265,500	843,733,000	446%	23.93	6.37%	23.42	5.35%	23.08	4.56%	22.69	4.56%	0.55%
2019/2/18	22.7	22.77	22.21	22.65	2.35%	0.70%	4.36%	9,808,300	220,612,000	196%	22.49	2.00%	22.23	0.99%	22.08	1.04%	21.7	0.96%	0.03%
2019/2/15	21.99	22.2	21.84	22.13	0.45%	0.35%	2.94%	6,411,300	141,385,000	146%	22.05	0.17%	22.01	0.60%	21.85	0.78%	21.5	0.44%	-0.10%
